1000047 JAMEL        MYERS        1   22339.00 3993
1000375 WENDELL      VASQUEZ      2    5302.90 4005
1002901 CRUZ         ROJAS        4   23123.60 4013
1000144 ELMO         DAVIDSON     5   13225.20 4000
1000444 EMILE        BEASLEY      7   25478.20 4006
1000769 CHASE        LAWSON       3   27075.50 4015
1000872 RUDOLPH      QUINN        1   17593.00 3995
1000026 BARRETT      DIAZ         4    5771.70 3996
1001910 ELTON        PITTMAN      4   27427.60 4009
1000012 REINALDO     ROLLINS      0   19836.00 3995
